stage,pnl,win_rate,signals,wins,losses,sideways,avg_pnl,pf,adx_threshold,ema_entry_len,ema_trend_len,hold_bars,rsi_len,stop_loss_pct,take_profit_pct,vol_mult
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,26.0,30.47,489,149,340,0,0.0532,1.1,,,,48,,0.008,0.02,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,65.6,24.59,489,120,368,1,0.1342,1.22,,,,48,,0.008,0.03,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,96.0,20.78,489,101,385,3,0.1963,1.31,,,,48,,0.008,0.04,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,11.0,40.9,489,200,289,0,0.0225,1.04,,,,48,,0.01,0.015,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-3.0,33.13,489,162,327,0,-0.0061,0.99,,,,48,,0.01,0.02,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,52.0,27.66,489,135,353,1,0.1063,1.15,,,,48,,0.01,0.03,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,69.0,22.84,489,111,375,3,0.1411,1.18,,,,48,,0.01,0.04,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-4.5,49.69,489,243,246,0,-0.0092,0.99,,,,48,,0.015,0.015,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-12.5,42.13,489,206,283,0,-0.0256,0.97,,,,48,,0.015,0.02,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,36.0,34.98,489,170,316,3,0.0736,1.08,,,,48,,0.015,0.03,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,77.5,30.21,489,145,335,9,0.1585,1.15,,,,48,,0.015,0.04,
